,Type,Title,Country,Release Year,Rating,Duration,Genres,Vote Average
211,MOVIE,Persona,['SE'],1966,Unknown,85,"['drama', 'european', 'thriller']",8.27
10,MOVIE,Bicycle Thieves,['IT'],1948,Unknown,93,"['drama', 'european']",8.234
171,MOVIE,A Clockwork Orange,"['US', 'GB']",1972,R,137,"['drama', 'crime', 'scifi']",8.221
228,MOVIE,The Seventh Seal,['SE'],1957,Unknown,96,"['fantasy', 'drama', 'european', 'history', 'thriller']",8.219
2178,MOVIE,Zack Snyder's Justice League,['US'],2021,R,242,"['scifi', 'action', 'fantasy', 'drama']",8.217
25,MOVIE,The Kid,['US'],1921,Unknown,68,"['comedy', 'drama', 'family']",8.212
166,MOVIE,Stalker,['SU'],1980,Unknown,162,"['drama', 'european', 'scifi']",8.202
1974,MOVIE,Steven Universe: The Movie,['US'],2019,Unknown,82,"['thriller', 'scifi', 'drama', 'fantasy', 'family', 'animation', 'action', 'comedy']",8.2
190,MOVIE,Tokyo Story,['JP'],1953,Unknown,136,['drama'],8.2
414,MOVIE,Apur Sansar,['IN'],1959,PG-13,105,"['drama', 'romance']",8.2
1585,MOVIE,An Apology to Elephants,['US'],2013,PG,40,['documentation'],8.2
1588,MOVIE,Billy Crystal: 700 Sundays,['US'],2014,Unknown,119,"['comedy', 'documentation', 'drama']",8.2
206,MOVIE,8½,"['FR', 'IT']",1963,Unknown,139,"['fantasy', 'drama', 'european']",8.2
689,MOVIE,The Matrix,['US'],1999,R,136,"['action', 'scifi']",8.2
221,MOVIE,Night and Fog,['FR'],1956,Unknown,32,"['documentation', 'war', 'history', 'european']",8.2
691,MOVIE,Memento,['US'],2000,R,113,['thriller'],8.19
198,MOVIE,Scenes from a Marriage,['SE'],1974,PG,299,"['drama', 'european']",8.187
1918,MOVIE,Joker,"['US', 'CA']",2019,R,122,"['thriller', 'drama', 'crime']",8.17
0,MOVIE,Casablanca,['US'],1943,PG,102,"['drama', 'romance', 'war']",8.167
164,MOVIE,Taxi Driver,['US'],1976,R,113,"['drama', 'crime']",8.166
945,MOVIE,The Departed,"['HK', 'US']",2006,R,151,"['drama', 'thriller', 'crime', 'action']",8.164
173,MOVIE,Singin' in the Rain,['US'],1952,G,103,"['drama', 'comedy', 'music', 'romance']",8.161
1856,MOVIE,Scooby-Doo! and the Gourmet Ghost,['US'],2018,G,77,['animation'],8.154
1745,MOVIE,The Latin Explosion: A New America,['US'],2015,Unknown,64,"['documentation', 'music']",8.154
262,MOVIE,Yojimbo,['JP'],1961,Unknown,110,"['thriller', 'crime', 'comedy', 'action', 'drama', 'european']",8.146
709,MOVIE,In the Mood for Love,"['NL', 'FR', 'HK']",2000,PG,99,"['romance', 'drama']",8.112
308,MOVIE,Red Beard,['JP'],1965,Unknown,185,['drama'],8.109
